caractere,texte,phone,sound
Α,alpha,alfa,grk001
α,alpha,alfa,grk001
Β,bêta,bɛta,grk002
β,bêta,bɛta,grk002
Γ,gamma,ɡama,grk003
γ,gamma,ɡama,grk003
Δ,delta,dɛlta,grk004
δ,delta,dɛlta,grk004
Ε,epsilon,ɛpsilɔ̃,grk005
ε,epsilon,ɛpsilɔ̃,grk005
Ζ,zêta,zɛta,grk006
ζ,zêta,zɛta,grk006
Η,êta,ɛta,grk007
η,êta,ɛta,grk007
Θ,thêta,tɛta,grk008
θ,thêta,tɛta,grk008
Ι,iota,jota,grk009
ι,iota,jota,grk009
Κ,kappa,kapa,grk010
κ,kappa,kapa,grk010
Λ,lambda,lɑ̃bda,grk011
λ,lambda,lɑ̃bda,grk011
Μ,mu,my,grk012
μ,mu,my,grk012
Ν,nu,ny,grk013
ν,nu,ny,grk013
Ξ,ksi,ksi,grk014
ξ,ksi,ksi,grk014
Ο,omicron,omikʁɔ̃,grk015
ο,omicron,omikʁɔ̃,grk015
Π,pi,pi,grk016
π,pi,pi,grk016
Ρ,rhô,ʁo,grk017
ρ,rhô,ʁo,grk017
Σ,sigma,siɡma,grk018
σ,sigma,siɡma,grk018
ς,sigma,siɡma,grk018
Τ,tau,to,grk019
τ,tau,to,grk019
Υ,upsilon,ypsilɔn,grk020
υ,upsilon,ypsilɔn,grk020
Φ,phi,fi,grk021
φ,phi,fi,grk021
Χ,khi,ki,grk022
χ,khi,ki,grk022
Ψ,psi,psi,grk023
ψ,psi,psi,grk023
Ω,oméga,omeɡa,grk024
ω,oméga,omeɡa,grk024
',prime,pʁim,grk025
′,prime,pʁim,grk025
