lettre,texte,phone,sound
A,a,a,let001
a,a,a,let001
B,bé,be,let002
b,bé,be,let002
C,cé,se,let003
c,cé,se,let003
D,dé,de,let004
d,dé,de,let004
E,e,ə,let005
e,e,ə,let005
F,effe,ɛf,let006
f,effe,ɛf,let006
G,gé,ʒe,let007
g,gé,ʒe,let007
H,ache,aʃ,let008
h,ache,aʃ,let008
I,i,i,let009
i,i,i,let009
J,ji,ʒi,let010
j,ji,ʒi,let010
K,ka,ka,let011
k,ka,ka,let011
L,elle,ɛl,let012
l,elle,ɛl,let012
M,emme,ɛm,let013
m,emme,ɛm,let013
N,enne,ɛn,let014
n,enne,ɛn,let014
O,o,o,let015
o,o,o,let015
P,pé,pe,let016
p,pé,pe,let016
Q,ku,ky,let017
q,ku,ky,let017
R,erre,ɛʁ,let018
r,erre,ɛʁ,let018
S,esse,ɛs,let019
s,esse,ɛs,let019
T,té,te,let020
t,té,te,let020
U,u,y,let021
u,u,y,let021
V,vé,ve,let022
v,vé,ve,let022
W,double vé,dublə ve,let023
w,double vé,dublə ve,let023
X,ix,iks,let024
x,ix,iks,let024
Y,i grec,i ɡʁɛk,let025
y,i grec,i ɡʁɛk,let025
Z,zède,zɛd,let026
z,zède,zɛd,let026
