nombre,romain
[1],[1]
[2],[1][1]
[3],[1][1][1]
[4],[1][5]
[5],[5]
[6],[5][1]
[7],[5][1][1]
[8],[5][1][1][1]
[9],[1][10]
[10],[10]
[20],[10][10]
[30],[10][10][10]
[40],[10][50]
[50],[50]
[60],[50][10]
[70],[50][10][10]
[80],[50][10][10][10]
[90],[10][100]
[100],[100]
[200],[100][100]
[300],[100][100][100]
[400],[100][500]
[500],[500]
[600],[500][100]
[700],[500][100][100]
[800],[500][100][100][100]
[900],[100][1000]
[1000],[1000]
[2000],[1000][1000]
[3000],[1000][1000][1000]
[4000],[1000][1000][1000][1000]
[5000],[5000]
[6000],[5000][1000]
[7000],[5000][1000][1000]
[8000],[5000][1000][1000][1000]
[9000],[1000][10000]
[900],[100][1000]
[90],[10][100]
[9],[1][10]
